日期,代码,回报率
2018/1/8,000002.SZ,0.022727312
2018/1/15,000002.SZ,0.10886072
2018/1/22,000002.SZ,0.015728086
2018/1/29,000002.SZ,-0.0664336
2018/2/5,000002.SZ,-0.163456372
2018/2/12,000002.SZ,0.060761028
2018/2/19,000002.SZ,0.046729061
2018/2/26,000002.SZ,-0.070276583
2018/3/5,000002.SZ,0.036555144
2018/3/12,000002.SZ,-0.024805676
2018/3/19,000002.SZ,-0.047808826
2018/3/26,000002.SZ,0.071451553
2018/4/2,000002.SZ,-0.014719058
2018/4/9,000002.SZ,-0.047256107
2018/4/16,000002.SZ,-0.035199982
2018/4/23,000002.SZ,-0.058043132
2018/4/30,000002.SZ,-0.052464808
2018/5/7,000002.SZ,0.038275848
2018/5/14,000002.SZ,-0.028274921
2018/5/21,000002.SZ,-0.027992687
2018/5/28,000002.SZ,-0.014778368
2018/6/4,000002.SZ,0.027307725
2018/6/11,000002.SZ,0.047922082
2018/6/18,000002.SZ,0.003929991
2018/6/25,000002.SZ,-0.124555109
2018/7/2,000002.SZ,-0.056504136
2018/7/9,000002.SZ,0.021973319
2018/7/16,000002.SZ,-0.024451923
2018/7/23,000002.SZ,0.00777871
2018/7/30,000002.SZ,-0.096054856
2018/8/6,000002.SZ,0.099620437
2018/8/13,000002.SZ,-0.021138802
2018/8/20,000002.SZ,0.003966602
2018/8/27,000002.SZ,0.097026577
2018/9/3,000002.SZ,-0.034927255
2018/9/10,000002.SZ,0.004739425
2018/9/17,000002.SZ,0.106346478
2018/9/24,000002.SZ,-0.058139652
2018/10/1,000002.SZ,0
2018/10/8,000002.SZ,-0.102880545
2018/10/15,000002.SZ,-0.011009228
2018/10/22,000002.SZ,0.10435986
2018/10/29,000002.SZ,0.034019476
2018/11/5,000002.SZ,-0.043460773
2018/11/12,000002.SZ,0.052229521
2018/11/19,000002.SZ,0.004842491
2018/11/26,000002.SZ,0.021686878
2018/12/3,000002.SZ,-0.003930908
2018/12/10,000002.SZ,0.044198726
2018/12/17,000002.SZ,-0.083522201
2018/12/24,000002.SZ,-0.017732008
2018/12/31,000002.SZ,0.046599537
2019/1/7,000002.SZ,0.014841569
2019/1/14,000002.SZ,0.018181836
2019/1/21,000002.SZ,0.013198799
2019/1/28,000002.SZ,0.060536344
2019/2/4,000002.SZ,0
2019/2/11,000002.SZ,-0.040823714
2019/2/18,000002.SZ,0.015819173
2019/2/25,000002.SZ,0.058212882
2019/3/4,000002.SZ,-0.039943943
2019/3/11,000002.SZ,0.024452553
2019/3/18,000002.SZ,0.039900273
2019/3/25,000002.SZ,0.052415207
2019/4/1,000002.SZ,0.048828147
2019/4/8,000002.SZ,-0.035071395
2019/4/15,000002.SZ,0.012544219
2019/4/22,000002.SZ,-0.07623887
2019/4/29,000002.SZ,-0.006877655
2019/5/6,000002.SZ,-0.029432058
2019/5/13,000002.SZ,-0.023903045
2019/5/20,000002.SZ,-0.019736785
2019/5/27,000002.SZ,-0.00447425
2019/6/3,000002.SZ,0.015730482
2019/6/10,000002.SZ,0.029867118
2019/6/17,000002.SZ,0.013605443
2019/6/24,000002.SZ,-0.017661668
2019/7/1,000002.SZ,0.058971579
2019/7/8,000002.SZ,0.006791246
2019/7/15,000002.SZ,0.035750412
2019/7/22,000002.SZ,-0.024422023
2019/7/29,000002.SZ,-0.065086747
2019/8/5,000002.SZ,-0.025705144
2019/8/12,000002.SZ,-0.037009842
2019/8/19,000002.SZ,0.066977142
2019/8/26,000002.SZ,-0.043026695
2019/9/2,000002.SZ,0.042248167
2019/9/9,000002.SZ,0.033097725
2019/9/16,000002.SZ,-0.035277179
2019/9/23,000002.SZ,-0.029850762
2019/9/30,000002.SZ,-0.003845976
2019/10/7,000002.SZ,0.035134976
2019/10/14,000002.SZ,0.005594887
2019/10/21,000002.SZ,0.000370929
2019/10/28,000002.SZ,-0.005190904
2019/11/4,000002.SZ,-0.00335436
2019/11/11,000002.SZ,-0.009349337
2019/11/18,000002.SZ,0.019630076
2019/11/25,000002.SZ,0.025546096
2019/12/2,000002.SZ,0.005776226
2019/12/9,000002.SZ,0.0104091
2019/12/16,000002.SZ,0.125399644
2019/12/23,000002.SZ,-0.021464642
2019/12/30,000002.SZ,0.033870945
2020/1/6,000002.SZ,-0.018408811
2020/1/13,000002.SZ,-0.031786339
2020/1/20,000002.SZ,-0.048588321
2020/1/27,000002.SZ,0.000345074
2020/2/3,000002.SZ,-0.051397051
2020/2/10,000002.SZ,0.120000061
2020/2/17,000002.SZ,-0.050324736
2020/2/24,000002.SZ,0.01162405
2020/3/2,000002.SZ,0.052044583
2020/3/9,000002.SZ,-0.055573373
2020/3/16,000002.SZ,-0.122449108
2020/3/23,000002.SZ,0.029845041
2020/3/30,000002.SZ,0.007903663
2020/4/6,000002.SZ,0.003734132
2020/4/13,000002.SZ,-0.006324382
2020/4/20,000002.SZ,-0.038936692
2020/4/27,000002.SZ,0.044409689
2020/5/4,000002.SZ,-0.019768692
2020/5/11,000002.SZ,-0.030060888
2020/5/18,000002.SZ,-0.012553967
2020/5/25,000002.SZ,0.02224859
2020/6/1,000002.SZ,0.027205704
2020/6/8,000002.SZ,-0.024593233
2020/6/15,000002.SZ,0.007370139
2020/6/22,000002.SZ,0.01655751
2020/6/29,000002.SZ,0.085227355
2020/7/6,000002.SZ,0.018150029
2020/7/13,000002.SZ,-0.066506745
2020/7/20,000002.SZ,-0.007344758
2020/7/27,000002.SZ,-0.007029307
2020/8/3,000002.SZ,0.007079068
2020/8/10,000002.SZ,0.023307385
2020/8/17,000002.SZ,0.025597106
2020/8/24,000002.SZ,0.007309847
2020/8/31,000002.SZ,0.018505174
2020/9/7,000002.SZ,-0.002850093
2020/9/14,000002.SZ,0.045730627
2020/9/21,000002.SZ,-0.056371661
2020/9/28,000002.SZ,0.013758124
2020/10/5,000002.SZ,0.000714204
2020/10/12,000002.SZ,-0.006423893
2020/10/19,000002.SZ,0.002873559
2020/10/26,000002.SZ,-0.015401162
2020/11/2,000002.SZ,0.071662349
2020/11/9,000002.SZ,-0.013917116
2020/11/16,000002.SZ,0.062650658
2020/11/23,000002.SZ,0.023971454
2020/11/30,000002.SZ,-0.050933274
2020/12/7,000002.SZ,-0.051333403
2020/12/14,000002.SZ,0.001405558
2020/12/21,000002.SZ,-0.014035066
2020/12/28,000002.SZ,0.021352359
2021/1/4,000002.SZ,0.022299615
2021/1/11,000002.SZ,0.020790734
2021/1/18,000002.SZ,-0.023038398
2021/1/25,000002.SZ,-0.050239192
2021/2/1,000002.SZ,0.039222636
2021/2/8,000002.SZ,-0.00173126
2021/2/15,000002.SZ,0.035033013
2021/2/22,000002.SZ,0.109249224
2021/3/1,000002.SZ,-0.047129836
2021/3/8,000002.SZ,-0.001585393
2021/3/15,000002.SZ,-0.009209223
2021/3/22,000002.SZ,-0.015384663
2021/3/29,000002.SZ,-0.023437464
2021/4/5,000002.SZ,-0.038000015
2021/4/12,000002.SZ,0.000346617
2021/4/19,000002.SZ,-0.027017776
2021/4/26,000002.SZ,0.002848064
2021/5/3,000002.SZ,-0.006034819
2021/5/10,000002.SZ,-0.033214272
2021/5/17,000002.SZ,-0.018470685
2021/5/24,000002.SZ,0.014301907
2021/5/31,000002.SZ,-0.023005612
2021/6/7,000002.SZ,-0.039498694
2021/6/14,000002.SZ,-0.028469706
2021/6/21,000002.SZ,-0.002441999
2021/6/28,000002.SZ,-0.018767912
2021/7/5,000002.SZ,0.000415847
2021/7/12,000002.SZ,-0.004571849
2021/7/19,000002.SZ,-0.035073105
2021/7/26,000002.SZ,-0.106014688
2021/8/2,000002.SZ,0.021297158
2021/8/9,000002.SZ,0.080094712
2021/8/16,000002.SZ,-0.001755054
2021/8/23,000002.SZ,-0.081318796
2021/8/30,000002.SZ,0.058936427
2021/9/6,000002.SZ,-0.025322613
2021/9/13,000002.SZ,-0.065195991
2021/9/20,000002.SZ,0.065547936
2021/9/27,000002.SZ,0.048720419
2021/10/4,000002.SZ,-0.003284712
2021/10/11,000002.SZ,-0.007062266
2021/10/18,000002.SZ,0.011379853
2021/10/25,000002.SZ,-0.146272919
2021/11/1,000002.SZ,-0.021416712
2021/11/8,000002.SZ,0.108866465
2021/11/15,000002.SZ,0.007084953
2021/11/22,000002.SZ,-0.045728642
2021/11/29,000002.SZ,0.014744688
2021/12/6,000002.SZ,0.046185707
2021/12/13,000002.SZ,-0.031249917
2021/12/20,000002.SZ,0.005632245
2021/12/27,000002.SZ,0.006110062
2022/1/3,000002.SZ,0.107793427
2022/1/10,000002.SZ,-0.054362602
2022/1/17,000002.SZ,0.045410461
2022/1/24,000002.SZ,-0.060535999
2022/1/31,000002.SZ,0
2022/2/7,000002.SZ,0.041810145
2022/2/14,000002.SZ,-0.033050038
2022/2/21,000002.SZ,-0.046386639
2022/2/28,000002.SZ,-0.041986756
2022/3/7,000002.SZ,-0.110101546
2022/3/14,000002.SZ,0.048048052
2022/3/21,000002.SZ,-0.002292294
2022/3/28,000002.SZ,0.186674293
2022/4/4,000002.SZ,0.040174301
2022/4/11,000002.SZ,-0.008841366
2022/4/18,000002.SZ,-0.069014038
2022/4/25,000002.SZ,-0.022692952
2022/5/2,000002.SZ,-0.045923564
2022/5/9,000002.SZ,0.009734949
2022/5/16,000002.SZ,0.012319195
2022/5/23,000002.SZ,-0.040211618
2022/5/30,000002.SZ,-0.023704516
2022/6/6,000002.SZ,0.008469815
2022/6/13,000002.SZ,0.016237351
2022/6/20,000002.SZ,0.010468373
2022/6/27,000002.SZ,0.11232273
2022/7/4,000002.SZ,-0.054901865
2022/7/11,000002.SZ,-0.086099631
2022/7/18,000002.SZ,-0.013620947
2022/7/25,000002.SZ,-0.009781337
2022/8/1,000002.SZ,-0.043579313
2022/8/8,000002.SZ,-0.004860268
2022/8/15,000002.SZ,0.038461634
2022/8/22,000002.SZ,-0.069371009
2022/8/29,000002.SZ,0.127496207
2022/9/5,000002.SZ,0.080357107
2022/9/12,000002.SZ,-0.008264398
2022/9/19,000002.SZ,-0.027222207
2022/9/26,000002.SZ,0.018275287
2022/10/3,000002.SZ,0
2022/10/10,000002.SZ,-0.045429051
2022/10/17,000002.SZ,-0.048766194
2022/10/24,000002.SZ,-0.114268093
2022/10/31,000002.SZ,-0.020920477
2022/11/7,000002.SZ,0.12250714
2022/11/14,000002.SZ,-0.006979729
2022/11/21,000002.SZ,0.106709308
2022/11/28,000002.SZ,0.061778195
2022/12/5,000002.SZ,0.112561209
2022/12/12,000002.SZ,-0.05278596
2022/12/19,000002.SZ,-0.030959614
2022/12/26,000002.SZ,-0.030883951
2018/1/8,000333.SZ,0.048999201
